Date,Media,Title,Article,Summary
24 mins ago,Morganton News Herald,,,
32 mins ago,Inside NoVA,Townhomes proposed on Prescott Avenue site in Manassas,"Close Get email notifications on {{subject}} daily!

Your notification has been saved.

There was a problem saving your notification.

{{description}}

Email notifications are only sent once a day, and only if there are new matching items.","Close Get email notifications on {{subject}} daily!
Your notification has been saved.
There was a problem saving your notification.
{{description}}Email notifications are only sent once a day, and only if there are new matching items."
1 hour ago,CBS New York,"CBS2 Weather Headlines: Cold, Dry Weekend; Taste Of Spring Next Week When Temps Reach 60s","Quarantine Cooking: Your Essential Nonstick Cookware GuideStep up your quarantine cooking with this guide to nonstick cookware.

How To: 6 Easy Steps To Make Homemade Soft PretzelsLearn how to make your own homemade soft pretzels with these six easy steps!

Observation Deck Coming Back To 61st Floor Of Iconic Chrysler BuildingOne of the city's most iconic buildings is getting an observation deck for the first time in 75 years.

Try These Make-Ahead Freezer Meals Perfect For WeeknightsSet yourself up for easy weeknight dinners no matter what!

Coronavirus Cooking: The Most Searched Recipe In Every State During QuarantineFind the most popular eats for your home state and across the country during the coronavirus quarantine.

Quarantine Recipes: How To Make Homemade BagelsSee how to make your own homemade bagels while stuck inside during quarantine.","Quarantine Cooking: Your Essential Nonstick Cookware GuideStep up your quarantine cooking with this guide to nonstick cookware.
How To: 6 Easy Steps To Make Homemade Soft PretzelsLearn how to make your own homemade soft pretzels with these six easy steps!
Try These Make-Ahead Freezer Meals Perfect For WeeknightsSet yourself up for easy weeknight dinners no matter what!
Coronavirus Cooking: The Most Searched Recipe In Every State During QuarantineFind the most popular eats for your home state and across the country during the coronavirus quarantine.
Quarantine Recipes: How To Make Homemade BagelsSee how to make your own homemade bagels while stuck inside during quarantine."
1 hour ago,Monroe Evening News,"Evangelist, son of NFL player headlines Monroe mission","By Suzanne Nolan Wisler

Richard Lane was managing three thrift stores until some Bibles changed his course.

It was 2005, and the Detroit native was living in Missouri.

“(I was part of) an outreach effort to pass out Bibles on the streets of St. Louis, to invite people to come to our church and be a part of it,” recalled Lane. “I loved passing out the Bibles, and I wanted to do more to help others come to an understanding of faith and the love of God. I felt the calling to ‘say something’ as I was passing out the Bibles and began to simply talk about how good God was in my life.”

Thus began his ministry.

For the last 16 years, Lane has been “saying something” to tens of thousands of people during his parish missions and conferences. Next month, he’s coming to two Monroe Catholic churches.

Lane is not a priest. He’s a full-time evangelist, a Black Catholic, an Army veteran and the son of a former NFL cornerback. He entered the faith as an adult.

He speaks around the world and has a singular mission:

“Encourage others into a deeper relationship with Jesus,” said Lane, who’s back living in Detroit. “We must be willing to be the change we desire to see; we must be the living and visible examples of our faith.”

Last fall, Deacon Zaid Chabaan from Sts. John and Mary Churches learned about Lane and brought him virtually to juniors at St. Mary Catholic Central High School.

The students were captivated, said the deacon.

“He’s a normal guy. He’s very personable, very inviting and dynamic,” said Deacon Zaid. “He uses humor and knows how to relate. He challenges the audience. People see church and think ‘very dry, by-the-book.’ He brings life experience.""

Now, Deacon Zaid and Lorie Bronson are hoping Lane can bring healing to the people of Monroe.

“It’s been a tough year. People are kind of down. It’s a good year for a mission,” said Bronson, pastoral minister. “We’re pretty excited. His energy will be contagious.”

“There is a great necessity. People are feeling isolated, depressed, disconnected. There’s a need for a mission. Richard Lane will be able to speak and relate to the people,"" said Deacon Zaid, who came to Monroe in August and is studying for the Catholic priesthood.

It will be the first mission in seven years for St. Mary and St. John.

But, the venues shouldn’t mislead. This mission is for everyone, people of all faiths and those with no religion at all.

“We invited all in the community,” said Deacon Zaid. “People are looking for something, anything to lift them up. All are welcome to come and see.”

Lane agrees.

“I encourage anyone and everyone to come, especially the first day/evening. We have fun, smile, laugh, joke, but also get serious about telling the story of ‘who we are and whose we are,’” said Lane. “Don’t worry, we won’t lock the doors and make you say three Our Fathers and five Hail Marys to let you out.”

The mission is aimed to those in junior high school through adults. Admission is free, and registration is not required.

The only preparation is to pray, suggests Bronson.

“Ask, ‘What does God want to tell me through this messenger?'” she said.

The mission’s theme is inspired by Lent: “Open Wide Your Heart: You Have the Key!”

“Let’s open our hearts. God can fill them,” said Bronson.

“The world and nation we live in right now is in great need of change, for future generations. Come and experience an encounter with Jesus that will change your life forever,” said Lane.

At a time when the pandemic is still real, Deacon Zaid encourages people to turn out.

“Fear (like COVID) is also contagious. The vaccine (for fear) can be found in church. We are working to help you feel safe,” he said.

Social distancing, limited seating and sanitizing will be enforced. Participants must wear masks.

For those unable to attend in person, the mission will be livestreamed on the churches’ Facebook pages.

“We want people to feel something, feel different, feel inspired,” said Deacon Zaid. “It can bring peace and God’s love to them and offer hope for a troubled, fractured world. This is an opportunity to take advantage of what is offered now. You don’t have to go far to do this. There is something in our midst.”

If you go …

What: Parish Mission

When and where:

Morning sessions: 9 a.m. (after 8:15 a.m. Mass) March 15-18 at St. John Catholic Church, 511 S. Monroe St.

Evening sessions: 7 p.m. March 15-18 at St. Mary Catholic Church, 127 N. Monroe St.

All sessions also will be livestreamed; each is about an hour

Lane also will speak at weekend Masses at the churches March 13-14

How much: Free; a freewill offering will be taken for Richard Lane’s ministry

More information: Contact Lorie Bronson or Deacon Zaid at 241-1644, exts. 8 or 5

Who is Richard Lane?","Next month, he’s coming to two Monroe Catholic churches.
He’s a full-time evangelist, a Black Catholic, an Army veteran and the son of a former NFL cornerback.
John and Mary Churches learned about Lane and brought him virtually to juniors at St. Mary Catholic Central High School.
It will be the first mission in seven years for St. Mary and St. John.
At a time when the pandemic is still real, Deacon Zaid encourages people to turn out."
1 hour ago,moosejawtoday.com,Looking back: This past week's headlines,"The headlines for the week of Feb. 27 to Mar. 5, 2021

Miss the news this past week? Here is a selection of headlines from the past week.

Want to get the headlines delivered to your inbox every day? Be sure to sign up for our email updates.

Saturday

Provincial camping registrations to open Apr. 12, Wakamow campground on Mar. 1

New B.C.-based clinical simulation tech changing the landscape of medical education

Moose Jaw players in action as WHL schedule kicks off with pair games

With NHL Draft on horizon, Warriors' Korczak aiming for impact performance

The Strong Studio Winter Games offer fun challenge in pandemic era

Sunday

5G technology to benefit farming

Installing biogas digesters can save money for industry

South Africa was the first overseas location where Moose Jaw soldiers fought

$5.6M raised at Telemiracle 45

Man arrested for running through mall without clothes on

Monday

Canada Post to help you stay in touch by providing free postcards

SaskTel reminding customers to protect themselves against cyber scams

Brain Health Awareness Month begins with new BrainLove fundraising initiatives

Tuesday

SaskEnergy warns customers about potential rebate scam

Police requesting assistance in locating missing 14-year-old

Fewer calls in 2020 likely due to pandemic restrictions, fire chief says

Moose Jaw’s Peters picks up first WHL point, Wiebe scores first of season

‘Immature kids’ likely responsible for vandalizing Crescent Park mural, artist says

Outfielder Espy to bring plenty of speed to Miller Express outfield

Moose Jaw Skating Club hits the ice for virtual competition from Skate Sask.

Police seek suspects after another break-in at South Hill Fine Foods

Moose Jaw Pol-ice brave the snow for Special Olympics fundraiser

Warriors settling into Regina hub as new campaign approaches

Fencing erected near Seventh Avenue Southwest bridge for upcoming repair

Wednesday

March declared Agriculture Literacy Month in Saskatchewan

Moose Jaw: Playboy of the Prairies

Mobile parking app to pay for meters could arrive by spring

WHL releases East Division schedule, Warriors in action opening night

Saskatchewan Festival of Words: Here’s what’s coming up in March

Former Warriors standout Jeannot makes NHL debut with Nashville

Prairie South taking ‘cup half-full’ view for return of normal school routines

Warriors coach O’Leary talks team and expectations for upcoming campaign

St. Joseph’s Parish to ring bells to mark anniversary of pandemic

Moose Jaw’s Holland looks back on the strange and unusual Scotties that was

Thursday

Sitting councillors spent over $20K combined during municipal election, data shows

Provincial government announces $18.9 million in COVID funding for child care centres

Tom Lukiwski, MP announces emergency support for local Legion

SHA shares how residents can recognize real calls for test results, contact tracing

PSSD trustees urged to fund pre-kindergarten on a multi-year basis

Homeowners worried that fire department charging fee for fire calls

Vaccination rate in Sask. expected to increase with addition of AstraZeneca vaccine

Work coming along with Pla-Mor Palace dressing rooms, Sportsplex renovations

Man wanted by Moose Jaw police on attempted murder, robbery charges arrested

Missing Moose Jaw youth located

Friday

Sport nutrition seminar to offer look at fueling for optimum performance

UPDATED: Power mostly restored after unplanned outage this morning

No more Trading Thoughts and Bizworld columns, at least for a while

Nearly 800 public school students learning online this year, report shows

Education director of Holy Trinity to resign, become director in Regina

Public school division seeing fewer absences despite ongoing pandemic

Opinion

On the Front Porch: Happy place

Bruce Penton: NHL’s best? We’ll have to wait until summer

Farm practices may have altered the quality of our butter

Reflective Moments: “Pssst: do you want to see some photos on my phone?”

Letter to the Editor: Letter to the Editor: Being proud of keeping our city clean

From the Kitchen: Garlic is a surprise ingredient in popular foods

Letter to the Editor: Wrong historical reference to Thatcher's Hardware in 2001 publication; Corrected submission

Editorial by Joan Ritchie

A Distant View: The 'Why' on Drugs?

MP Report: Bill C-7

Brilliant idea! Hope the federal government invests in the project","The headlines for the week of Feb. 27 to Mar.
5, 2021Miss the news this past week?
Here is a selection of headlines from the past week.
Want to get the headlines delivered to your inbox every day?
Hope the federal government invests in the project"
1 hour ago,KMOV.com,3 wounded following drive-by shooting in North City,"You have permission to edit this article.

Edit Close",You have permission to edit this article.
1 hour ago,Devdiscourse,Iranian firefighters contain fuel tanks blaze at Afghan border,"Firefighters from Iran contained a blaze at a border crossing with Afghanistan after three fuel storage tanks caught fire on Saturday, officials told Iranian media.

Abolhassan Mirjalili, a senior emergency official in Iran's South Khorasan province, told the official news agency IRNA that Iran had sent 10 teams of firefighters to fight blaze, which was brought under control in six-and-a-half hours. No one was hurt and no there was no serious damage to property, he added.

Advertisement

Earlier, Ali Akbar Mazidi, head of Iran's Mahiroud border terminal, told news agency ISNA that three 150-tonne tanks had caught fire. It was not clear what caused the blaze.

In mid-February, a fire at another Afghan customs post at the Iranian border injured about 60 people as hundreds of fuel tankers exploded, disrupting power supplies and causing millions of dollars of damage. The cause was unknown. Iran, which has some of the world's cheapest fuel prices due to heavy subsidies and the fall of its currency, has faced rampant fuel smuggling to neighboring countries.

(This story has not been edited by Devdiscourse staff and is auto-generated from a syndicated feed.)","Firefighters from Iran contained a blaze at a border crossing with Afghanistan after three fuel storage tanks caught fire on Saturday, officials told Iranian media.
Abolhassan Mirjalili, a senior emergency official in Iran's South Khorasan province, told the official news agency IRNA that Iran had sent 10 teams of firefighters to fight blaze, which was brought under control in six-and-a-half hours.
AdvertisementEarlier, Ali Akbar Mazidi, head of Iran's Mahiroud border terminal, told news agency ISNA that three 150-tonne tanks had caught fire.
In mid-February, a fire at another Afghan customs post at the Iranian border injured about 60 people as hundreds of fuel tankers exploded, disrupting power supplies and causing millions of dollars of damage.
Iran, which has some of the world's cheapest fuel prices due to heavy subsidies and the fall of its currency, has faced rampant fuel smuggling to neighboring countries."
1 hour ago,,AP Top Headlines at 12:26 p.m. EST,,
24 mins ago,Morganton News Herald,"New COVID-19 cases added, 2 outbreaks over","She said the vaccination clinics are only scheduling for the number of doses they know they will be getting.

The state moved on to vaccinating the next group of frontline essential workers in Group 3, which started on Wednesday.

Those who are in priority groups can now visit CHSBR.org/vaccine to register for a shot.

People also can use the vaccination call center, which is open from 8 a.m. to 4:30 p.m. Monday through Wednesday. Its number is 828-358-4454.

The health department has been working with essential businesses to get their employees vaccinated, McLeod has said. She said the department has been working with restaurants, fast food and retail stores, grocery stores and convenience stores to get their employees into one of the clinics.

McLeod said businesses have been giving the health department names of their employees who want the vaccine, or employers have been calling the hospital about getting their workers vaccinated.

McLeod said the department also can do vaccination clinics for larger employers onsite in the county, but the employers will be responsible for setting up a location for vaccinations.","She said the vaccination clinics are only scheduling for the number of doses they know they will be getting.
The state moved on to vaccinating the next group of frontline essential workers in Group 3, which started on Wednesday.
People also can use the vaccination call center, which is open from 8 a.m. to 4:30 p.m. Monday through Wednesday.
The health department has been working with essential businesses to get their employees vaccinated, McLeod has said.
She said the department has been working with restaurants, fast food and retail stores, grocery stores and convenience stores to get their employees into one of the clinics."
32 mins ago,Inside NoVA,Townhomes proposed on Prescott Avenue site in Manassas,"Close Get email notifications on {{subject}} daily!

Your notification has been saved.

There was a problem saving your notification.

{{description}}

Email notifications are only sent once a day, and only if there are new matching items.","Close Get email notifications on {{subject}} daily!
Your notification has been saved.
There was a problem saving your notification.
{{description}}Email notifications are only sent once a day, and only if there are new matching items."
